
hello|hi
open google|opening google
google|google is here
What is Python?|Python is a high-level programming language used for web, AI, and data science.
Who created Python?|Python was created by Guido van Rossum in 1991.
What is AI?|AI stands for Artificial Intelligence — machines that can mimic human intelligence.
Who are you?|I am your friendly chatbot assistant.
How are you?|I am just a program, but I am doing great! How about you?
Open google|Opening Google for you!
Open youtube|Opening YouTube for you!
What is data science?|Data science is the field of analyzing data to extract meaningful insights and patterns.
Tell me a joke|Sure! Why did the computer catch a cold? Because it had too many windows open!
hi|hello
yahoo|koi muje jangli khe yahoo
how r u|i am good
What is Python?|Python is a high-level programming language used for web, AI, and data science.
Who created Python?|Python was created by Guido van Rossum in 1991.
What is AI?|AI stands for Artificial Intelligence — machines that can mimic human intelligence.
Who are you?|I am your friendly chatbot assistant.
How are you?|I am just a program, but I am doing great! How about you?
Open google|Opening Google for you!
Open youtube|Opening YouTube for you!
What is data science?|Data science is the field of analyzing data to extract meaningful insights and patterns.
Tell me a joke|Sure! Why did the computer catch a cold? Because it had too many windows open!
What is Python?|Python is a high-level programming language used for web, AI, and data science.
Who created Python?|Python was created by Guido van Rossum in 1991.
What is AI?|AI stands for Artificial Intelligence — machines that can mimic human intelligence.
Who are you?|I am your friendly chatbot assistant.
How are you?|I am just a program, but I am doing great! How about you?
Open google|Opening Google for you!
Open youtube|Opening YouTube for you!
What is data science?|Data science is the field of analyzing data to extract meaningful insights and patterns.
Tell me a joke|Sure! Why did the computer catch a cold? Because it had too many windows open!
